"","party","name","ngirls","totchi","aauw"
"187",2,"HUNTER, DUNCAN L.",0,2,0
"188",2,"HUTCHINSON, ASA",1,4,13
"189",2,"HYDE, HENRY JOHN",1,4,0
"190",2,"INGLIS, ROBERT",3,4,0
"191",2,"ISTOOK, ERNEST JIM",3,5,0
"192",1,"JACKSON, JESSE L., JR.",0,0,100
"193",1,"JEFFERSON, WILLIAM J.",5,5,75
"194",2,"JENKINS, WILLIAM L.",2,4,13
"195",1,"JOHN, CHRIS",0,0,50
"196",1,"JOHNSON, EDDIE BERNICE",0,1,100
"197",1,"JOHNSON, JAY W.",0,0,88
"198",2,"JOHNSON, NANCY L.",3,3,100
"199",2,"JOHNSON, SAM R.",2,3,0
"200",2,"JONES, WALTER B., JR.",1,1,0
"201",1,"KANJORSKI, PAUL E.",1,1,63
"202",1,"KAPTUR, MARCIA",0,0,75
"203",2,"KASICH, JOHN R.",0,0,0
"204",2,"KELLY, SUE",1,4,50
"205",1,"KENNEDY, JOSEPH P., II",0,2,100
"206",1,"KENNEDY, PATRICK J.",0,0,75
"207",1,"KENNELLY, BARBARA B.",3,4,100
"208",1,"KILDEE, DALE E.",1,3,63
"209",1,"KILPATRICK, CAROLYN C.",1,2,100
"210",2,"KIM, JAY C.",1,3,13
"211",1,"KIND, RONALD JAMES",0,1,88
"212",2,"KING, PETER T.",1,2,13
"213",2,"KINGSTON, JOHN (JACK)",2,4,0
"214",1,"KLECZKA, GERALD",0,0,63
"215",1,"KLINK, RON",1,2,63
"216",2,"KLUG, SCOTT L.",0,3,50
"217",2,"KNOLLENBERG, JOSEPH",0,2,0
"218",2,"KOLBE, JIM",0,0,38
"219",1,"KUCINICH, DENNIS J.",1,1,63
"220",1,"LAFALCE, JOHN",0,1,50
"221",2,"LAHOOD, RAY",2,4,38
"222",1,"LAMPSON, NICHOLAS U.",2,2,88
"223",1,"LANTOS, TOM",2,2,100
"224",2,"LARGENT, STEPHEN",1,4,13
"225",2,"LATHAM, TOM",2,3,0
"226",2,"LATOURETTE, STEVEN C.",3,4,25
"227",2,"LAZIO, RICK A.",2,2,50
"228",2,"LEACH, JAMES",1,2,75
"229",1,"LEE, SHEILA JACKSON",1,2,100
"230",1,"LEVIN, SANDER M.",2,4,100
"231",2,"LEWIS, JERRY",2,7,13
"232",1,"LEWIS, JOHN",0,1,100
"233",2,"LEWIS, RON",1,2,0
"234",2,"LINDER, JOHN",1,2,0
"235",1,"LIPINSKI, WILLIAM O.",1,2,25
"236",2,"LIVINGSTON, ROBERT L.",1,4,0
"237",2,"LOBIONDO, FRANK",2,2,25
"238",1,"LOFGREN, ZOE",1,2,100
"239",1,"LOWEY, NITA M.",2,3,100
"240",2,"LUCAS, FRANK D.",2,3,0
"241",1,"LUTHER, WILLIAM",1,2,100
"242",1,"MALONEY, CAROLYN B.",2,2,100
"243",1,"MALONEY, JAMES H.",3,3,88
"244",1,"MANTON, THOMAS J.",2,4,63
"245",2,"MANZULLO, DONALD",2,3,0
"246",1,"MARKEY, EDWARD J.",0,0,88
"247",1,"MARTINEZ, MATTHEW G. (MARTY)",3,5,88
"248",1,"MASCARA, FRANK R.",1,4,63
"249",1,"MATSUI, ROBERT TAKEO",0,1,88
"250",1,"MCCARTHY, CAROLYN",0,1,100
"251",1,"MCCARTHY, KAREN",0,0,100
"252",2,"MCCOLLUM, BILL",0,3,0
"253",2,"MCCRERY, JAMES O.",0,2,0
"254",2,"MCDADE, JOSEPH M.",2,5,38
"255",1,"MCDERMOTT, JIM",1,2,100
"256",1,"MCGOVERN, JAMES P.",0,0,100
"257",1,"MCHALE, PAUL",1,3,75
"258",2,"MCHUGH, JOHN M.",0,0,38
"259",2,"MCINNIS, SCOTT",2,3,0
"260",2,"MCINTOSH, DAVID M.",1,1,0
"261",1,"MCINTYRE, MIKE",0,2,50
"262",2,"MCKEON, HOWARD P. (BUCK)",3,6,0
"263",1,"MCKINNEY, CYNTHIA ANN",0,1,100
"264",1,"MCNULTY, MICHAEL R.",4,4,50
"265",1,"MEEHAN, MARTIN T.",0,0,100
"266",1,"MEEK, CARRIE P.",2,3,100
"267",1,"MENENDEZ, ROBERT",1,2,88
"268",2,"METCALF, JACK",4,4,0
"269",2,"MICA, JOHN L.",1,2,0
"270",1,"MILLENDER-MCDONALD, JUANITA",3,4,100
"271",2,"MILLER, DAN",1,2,13
"272",1,"MILLER, GEORGE",0,2,100
"273",1,"MINGE, DAVID",0,2,88
"274",1,"MINK, PATSY T.",1,1,100
"275",1,"MOAKLEY, JOHN",0,0,75
"276",2,"MOLINARI, SUSAN",1,1,0
"277",1,"MOLLOHAN, ALAN B.",1,5,50
"278",1,"MORAN, JAMES P., JR.",2,5,75
"279",2,"MORAN, JERRY",2,2,25
"280",2,"MORELLA, CONSTANCE A.",1,3,100
"281",1,"MURTHA, JOHN P.",1,3,63
"282",2,"MYRICK, SUE",3,5,13
"283",1,"NADLER, JERROLD",0,1,88
"284",1,"NEAL, RICHARD E.",1,4,75
"285",2,"NETHERCUTT, GEORGE R.",1,2,0
"286",2,"NEUMANN, MARK W.",1,3,0
"287",2,"NEY, ROBERT WILLIAM (BOB)",1,2,25
"288",2,"NORTHUP, ANNE MEAGHER",2,6,0
"289",2,"NORWOOD, CHARLES",0,2,0
"290",2,"NUSSLE, JIM",1,2,13
"291",1,"OBERSTAR, JAMES L.",4,6,63
"292",1,"OBEY, DAVID R.",0,2,88
"293",1,"OLVER, JOHN W.",1,1,100
"294",1,"ORTIZ, SOLOMON",1,2,63
"295",1,"OWENS, MAJOR ROBERT ODELL",1,5,100
"296",2,"OXLEY, MICHAEL G.",0,1,0
"297",2,"PACKARD, RONALD C.",4,7,0
"298",1,"PALLONE, FRANK, JR.",1,2,100
"299",2,"PAPPAS, MICHAEL",NA,NA,0
"300",2,"PARKER, MIKE",1,3,0
"301",1,"PASCRELL, WILLIAM J.",0,3,88
"302",1,"PASTOR, ED",2,2,100
"303",2,"PAUL, RON E.",3,5,13
"304",2,"PAXON, L. WILLIAM",1,1,0
"305",1,"PAYNE, DONALD M.",2,3,100
"306",2,"PEASE, EDWARD A.",0,0,0
"307",1,"PELOSI, NANCY",4,5,100
"308",1,"PETERSON, COLLIN C.",0,3,63
"309",2,"PETERSON, JOHN E.",0,1,0
"310",2,"PETRI, THOMAS EVERT",1,1,13
"311",2,"PICKERING, CHARLES W., JR.",0,4,0
"312",1,"PICKETT, OWEN B.",3,3,100
"313",2,"PITTS, JOSEPH R.",2,3,0
"314",2,"POMBO, RICHARD W.",2,3,0
"315",1,"POMEROY, EARL R.",1,2,88
"316",2,"PORTER, JOHN EDWARD",3,5,25
"317",2,"PORTMAN, ROBERT J.",1,3,0
"318",1,"POSHARD, GLENN",1,2,63
"319",1,"PRICE, DAVID E.",1,2,100
"320",2,"PRYCE, DEBORAH",1,2,25
"321",2,"QUINN, JACK",1,2,38
"322",2,"RADANOVICH, GEORGE",0,0,0
"323",1,"RAHALL, NICK JOE",2,3,63
"324",2,"RAMSTAD, JIM",0,0,38
"325",1,"RANGEL, CHARLES",1,2,88
"326",2,"REDMOND, WILLIAM T.",1,2,14
"327",2,"REGULA, RALPH S.",1,3,25
"328",1,"REYES, SILVESTRE",2,3,88
"329",2,"RIGGS, FRANK DU",1,3,0
"330",2,"RILEY, ROBERT R.",3,4,0
"331",1,"RIVERS, LYNN N.",2,2,100
"332",1,"RODRIGUEZ, CIRO D.",1,1,100
"333",1,"ROEMER, TIM",1,3,63
"334",2,"ROGAN, JAMES E.",2,2,0
"335",2,"ROGERS, HAROLD D.",1,3,0
"336",2,"ROHRABACHER, DANA",0,0,0
"337",2,"ROS-LEHTINEN, ILEANA",2,2,13
"338",1,"ROTHMAN, STEVEN R.",1,2,100
"339",2,"ROUKEMA, MARGARET S.",1,2,38
"340",1,"ROYBAL-ALLARD, LUCILLE",2,4,100
"341",2,"ROYCE, EDWARD R.",0,0,0
"342",1,"RUSH, BOBBY L.",1,5,100
"343",2,"RYUN, JAMES R.",2,4,0
"344",1,"SABO, MARTIN OLAV",2,2,100
"345",2,"SALMON, MATTHEW",2,4,0
"346",1,"SANCHEZ, LORETTA",0,0,100
"347",3,"SANDERS, BERNARD",2,4,100
"348",1,"SANDLIN, MAX A., JR.",2,4,88
"349",2,"SANFORD, MARSHALL",0,3,13
"350",1,"SAWYER, THOMAS C. (TOM)",1,1,100
"351",2,"SAXTON, H. JAMES",1,2,25
"352",2,"SCARBOROUGH, JOE",0,2,0
"353",2,"SCHAEFER, DANIEL",1,4,0
"354",2,"SCHAFER, ROBERT W. (BOB)",3,4,0
"355",2,"SCHIFF, STEVEN H.",1,2,0
"356",1,"SCHUMER, CHARLES E.",2,2,100
"357",1,"SCOTT, ROBERT C.",0,0,100
"358",2,"SENSENBRENNER, FRANK JAMES",0,2,0
"359",1,"SERRANO, JOSE E.",2,5,100
"360",2,"SESSIONS, PETER",0,2,0
"361",2,"SHADEGG, JOHN B.",1,2,0
"362",2,"SHAW, E. CLAY, JR.",2,4,13
"363",2,"SHAYS, CHRISTOPHER",1,1,63
"364",1,"SHERMAN, BRAD",0,0,100
"365",2,"SHIMKUS, JOHN M.",0,2,0
"366",2,"SHUSTER, E.G.",3,5,13
"367",1,"SISISKY, NORMAN",0,4,88
"368",1,"SKAGGS, DAVID E.",1,3,88
"369",2,"SKEEN, JOSEPH R.",1,2,13
"370",1,"SKELTON, IKE",1,3,63
"371",1,"SLAUGHTER, LOUISE M.",3,3,75
"372",1,"SMITH, ADAM",0,0,100
"373",2,"SMITH, CHRISTOPHER H.",2,4,13
"374",2,"SMITH, LAMAR S.",1,2,0
"375",2,"SMITH, LINDA",1,2,0
"376",2,"SMITH, NICK H.",3,4,13
"377",2,"SMITH, ROBERT F.",1,3,13
"378",2,"SNOWBARGER, VINCENT K.",0,2,13
"379",1,"SNYDER, VICTOR F.",0,0,100
"380",2,"SOLOMON, GERALD B.",2,5,0
"381",2,"SOUDER, MARK E.",1,3,25
"382",2,"SPENCE, FLOYD",0,4,0
"383",1,"SPRATT, JOHN M.",3,3,88
"384",1,"STABENOW, DEBORAH ANN",1,2,88
"385",1,"STARK, FORTNEY (PETE)",3,5,100
"386",2,"STEARNS, CLIFFORD",0,3,0
"387",1,"STENHOLM, CHARLES WALTER",1,3,50
"388",1,"STOKES, LOUIS",3,4,100
"389",1,"STRICKLAND, TED",0,0,88
"390",2,"STUMP, BOB",1,3,0
"391",1,"STUPAK, BART",0,2,63
"392",2,"SUNUNU, JOHN E.",1,2,0
"393",2,"TALENT, JAMES M.",2,3,0
"394",1,"TANNER, JOHN S.",1,2,75
"395",1,"TAUSCHER, ELLEN",1,1,88
"396",2,"TAUZIN, WILBERT J.",1,5,0
"397",2,"TAYLOR, CHARLES H.",0,3,0
"398",1,"TAYLOR, GENE",2,3,13
"399",2,"THOMAS, WILLIAM MARSHALL",1,2,13
"400",1,"THOMPSON, BENNIE",1,1,100
"401",2,"THORNBERRY, WILLIAM M. (MAC)",1,2,0
"402",2,"THUNE, JOHN R.",2,2,13
"403",1,"THURMAN, KAREN L.",1,2,100
"404",2,"TIAHRT, TODD",1,3,0
"405",1,"TIERNEY, JOHN F.",0,0,100
"406",1,"TORRES, ESTEBAN E.",4,5,100
"407",1,"TOWNS, EDOLPHUS",1,2,88
"408",1,"TRAFICANT, JAMES A., JR.",2,2,63
"409",1,"TURNER, JAMES W.",1,2,88
"410",2,"UPTON, FRED",1,2,38
"411",1,"VELAZQUEZ, NYDIA M.",0,0,100
"412",1,"VENTO, BRUCE",0,3,100
"413",1,"VISCLOSKEY, PETER J.",0,2,75
"414",2,"WALSH, JAMES T.",1,3,25
"415",2,"WAMP, ZACH",1,2,0
"416",1,"WATERS, MAXINE",1,2,100
"417",2,"WATKINS, WES",2,3,25
"418",1,"WATT, MELVIN LU",0,2,100
"419",2,"WATTS, JULIUS C.",3,5,25
"420",1,"WAXMAN, HENRY A.",1,2,100
"421",2,"WELDON, CURT",3,5,13
"422",2,"WELDON, DAVID J.",1,1,0
"423",2,"WELLER, GERALD C. (JERRY)",0,0,0
"424",1,"WEXLER, ROBERT",2,3,100
"425",1,"WEYGAND, ROBERT A.",2,3,63
"426",2,"WHITE, RICHARD",3,4,38
"427",2,"WHITFIELD, EDWARD",1,1,0
"428",2,"WICKER, ROGER F.",2,3,0
"429",1,"WISE, ROBERT E.",1,2,100
"430",2,"WOLF, FRANK R.",4,5,13
"431",1,"WOOLSEY, LYNN",1,4,100
"432",1,"WYNN, ALBERT R.",1,1,100
"433",1,"YATES, SIDNEY RICHARD",0,1,88
"434",2,"YOUNG, C.W. (BILL)",0,3,0
"435",2,"YOUNG, DONALD E.",2,2,13
